GroupName,State,tz,DST_Flag,Change_YR,Change_Mo,Change_Day,Change_DT,Tminus
CA_DST_on,CA,Pacific,DST_on_PRE,2015,2,26,2/26/2015,-10
CA_DST_on,CA,Pacific,DST_on_PRE,2015,2,27,2/27/2015,-9
CA_DST_on,CA,Pacific,DST_on_PRE,2015,2,28,2/28/2015,-8
CA_DST_on,CA,Pacific,DST_on_PRE,2015,3,1,3/1/2015,-7
CA_DST_on,CA,Pacific,DST_on_PRE,2015,3,2,3/2/2015,-6
CA_DST_on,CA,Pacific,DST_on_PRE,2015,3,3,3/3/2015,-5
CA_DST_on,CA,Pacific,DST_on_PRE,2015,3,4,3/4/2015,-4
CA_DST_on,CA,Pacific,DST_on_PRE,2015,3,5,3/5/2015,-3
CA_DST_on,CA,Pacific,DST_on_PRE,2015,3,6,3/6/2015,-2
CA_DST_on,CA,Pacific,DST_on_PRE,2015,3,7,3/7/2015,-1
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,8,3/8/2015,0
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,9,3/9/2015,1
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,10,3/10/2015,2
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,11,3/11/2015,3
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,12,3/12/2015,4
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,13,3/13/2015,5
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,14,3/14/2015,6
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,15,3/15/2015,7
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,16,3/16/2015,8
CA_DST_on,CA,Pacific,DST_on_POST,2015,3,17,3/17/2015,9
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,22,10/22/2015,-10
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,23,10/23/2015,-9
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,24,10/24/2015,-8
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,25,10/25/2015,-7
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,26,10/26/2015,-6
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,27,10/27/2015,-5
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,28,10/28/2015,-4
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,29,10/29/2015,-3
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,30,10/30/2015,-2
CA_DST_off,CA,Pacific,DST_off_PRE,2015,10,31,10/31/2015,-1
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,1,11/1/2015,0
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,2,11/2/2015,1
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,3,11/3/2015,2
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,4,11/4/2015,3
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,5,11/5/2015,4
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,6,11/6/2015,5
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,7,11/7/2015,6
CA_DST_off,CA,Pacific,DST_off_POST,2015,11,8,11/8/2015,7
